,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,17.25,6.8157324683228095,48.184779999999996,9.19451741005589,13.9904,71.465259275
1,DTE.N,Utilities,6.5,3.53462169847479,10.505,3.0769197214908903,4.829,57.061580993
2,LOW.N,Consumer Discretionary,20.066670000000002,8.20382689334529,272.3372,9.2669880538393,15.35,81.658025872
3,WBA.OQ,Consumer Staples,17.866670000000003,3.2766999598942,17.65963,7.12971207939478,2.30475,41.075436713
4,MAR.OQ,Consumer Discretionary,52.1,9.57269077970948,362.19257000000005,9.38686616710303,5.4,80.772554442
5,EMR.N,Industrials,18.8,9.36951655642964,30.17775,9.917754031980929,5.32033,40.881806488
6,WEC.N,Utilities,5.8,1.8466612843319399,11.4718,1.8206495406116299,6.04967,54.51995675
7,LEG.N,Consumer Discretionary,,7.83074191964172,,8.34845305489618,,50.470648639
8,REG.OQ,Real Estate,4.0,5.74605100905429,4.3475,4.4787458413533,,36.547694233
9,MS.N,Financials,,3.4075479386377205,10.88482,9.91345975243425,7.98525,84.3616908876
10,BLK.N,Financials,23.5,7.68793489189652,13.875,10.90673086757,5.468,12.926088424000001
11,WYNN.OQ,Consumer Discretionary,14.75,8.04351682665906,35.03713,13.812424801115998,10.623,83.874833187
12,HOLX.OQ,Health Care,16.25,7.83371449802414,24.698,6.348751108102469,7.9833300000000005,59.248415741
13,BRKb.N,Financials,,5.5339935650600305,6.66,6.770479209651801,,21.664925887
14,DVN.N,Energy,1.4,11.166831361514001,8.2614,15.735842171730999,14.0225,32.653958944
15,ALLE.N,Industrials,24.23333,4.4991535592596605,59.8834,8.509301390887119,8.12733,68.839336764
16,PEAK.N,Real Estate,4.0,4.3471403468886605,2.445,2.9719403147157597,,46.090049756999996
17,DLTR.OQ,Consumer Discretionary,13.566670000000002,5.540707632432389,17.91358,4.509430379708861,3.927,43.048182313999995
18,PAYX.OQ,Information Technology,106.0,6.3684326491867,40.40729,6.91314077835257,8.38,23.314499839
19,AAL.OQ,Industrials,12.66667,5.24285028807697,120.73083000000001,11.417051979087901,9.6118,100.695358789
20,TER.OQ,Information Technology,,9.2342163896486,49.937329999999996,10.904077221633802,13.385,19.974452449
21,WDC.OQ,Information Technology,14.4,8.168612374028879,19.92,12.4076325321314,,51.35438528
22,PWR.N,Industrials,,7.66738496871102,11.84783,9.043532115487631,13.902999999999999,23.477602554
23,XOM.N,Energy,4.2,6.92690600360099,7.898,7.69695918416095,2.7319999999999998,15.993297338
24,CMA.N,Financials,,7.352894853955821,13.863439999999999,10.989810816898999,3.6,
25,DISCK.OQ,Communication Services,21.0,5.477378342752,20.4375,11.376266586682698,,61.490296595
26,NDAQ.OQ,Financials,10.6,5.43935284031489,16.0,5.70620724384678,6.89925,41.282327586
27,DPZ.N,Consumer Discretionary,78.1,3.4954174702643996,-10.16467,4.76536256608449,12.7688,718.293627952
28,HES.N,Energy,2.85,10.4319734372461,0.8407100000000001,13.618932222107802,,37.995444191
29,BXP.N,Real Estate,,5.50856586766186,10.53,6.95591849144174,,57.267269197
30,BEN.N,Financials,,6.61731683319838,11.198,8.9457898542343,-3.52275,6.169854604
31,APA.OQ,Energy,3.7,11.8480481147075,0.4952,12.981811703542302,-41.438,48.33489681
32,AMAT.OQ,Information Technology,31.1,9.29126653906239,38.352,11.4777637069624,8.525,39.277001553000005
33,FLT.N,Information Technology,,8.64509972159831,24.52444,8.350389480132131,13.823329999999999,59.062543547
34,ZION.OQ,Financials,,8.092220599711741,10.977780000000001,11.0393041767413,3.1,
35,RF.N,Financials,,8.85190816139897,10.11524,11.012297851095099,8.3065,
36,DISH.OQ,Communication Services,4.93,8.365583043037809,8.19833,9.57619976210025,-21.497,62.596586595
37,PEG.N,Utilities,6.6,3.4434733645347295,11.23,3.41435135771078,3.7,51.843912241999995
38,ALL.N,Financials,,5.670796319137501,14.135710000000001,6.63599825346394,10.9845,23.235961530999997
39,SLB.N,Energy,6.3,10.8454803230347,9.60256,11.052529733260698,9.504,30.493759143000002
40,PGR.N,Financials,,3.85200706647637,21.69,5.53565765909533,5.7155,28.526927959000002
41,NOV.N,Energy,6.3,10.1970837809765,7.66713,9.68903805920192,,16.331325301
42,SWKS.OQ,Information Technology,29.55,8.21260945828819,27.078000000000003,8.075055544969409,14.05,0.0
43,EL.N,Consumer Staples,34.665,6.11501751081285,48.78588,6.34832225824448,12.75025,43.614981465
44,NOC.N,Industrials,16.0,4.9123311286439195,36.44078,6.383040640281579,7.664,63.753486519
45,PKG.N,Materials,16.2,,19.4,11.729538923931699,0.88,48.360418156
46,CSX.OQ,Industrials,12.9,6.96662230119126,29.976,8.926680484772971,8.458,53.981782932
47,MSCI.N,Financials,40.46667,6.298239884181349,-44.8,8.550473782786371,15.5,106.911309551
48,CERN.OQ,Health Care,17.133329999999997,5.44327329427451,22.176,7.32576501766772,13.6,8.259630071
49,MGM.N,Consumer Discretionary,7.7,9.43588573820127,10.1048,10.6877130190874,31.5085,58.869186351
50,ANSS.OQ,Information Technology,17.5,8.52484098657596,16.26,10.0749559000117,7.1,0.0
51,UNH.N,Health Care,17.6925,5.16780468303371,24.918000000000003,5.59070746965237,13.413,39.398152639
52,ALGN.OQ,Health Care,46.1,11.5851133930054,30.778000000000002,13.8723870509684,18.93133,0.0
53,NLSN.N,Industrials,3.6,4.82306824049924,26.950329999999997,7.1656591066279995,1.455,73.377077865
54,TTWO.OQ,Communication Services,30.73333,4.89156565393656,17.29038,5.90672874983744,12.163,0.0
55,BIO.N,Health Care,21.2,5.789374183736481,47.8,8.70699775428764,19.6,9.853218592000001
56,CAG.N,Consumer Staples,7.39,4.936425771450519,14.54667,6.709623978119099,8.905,58.85728460399999
57,XLNX.OQ,Information Technology,25.2,7.107336940653241,29.66688,8.94322658052793,7.515,30.144329686
58,INCY.OQ,Health Care,19.0,5.854574273119679,26.26075,7.59255567653563,49.428329999999995,1.84139724
59,ADBE.OQ,Information Technology,38.2,6.97977943808432,32.484629999999996,8.27615129315185,21.75,28.211062369
60,NTRS.OQ,Financials,,1.11142192873839,15.119000000000002,9.05956986120838,4.14,91.858486751
61,SPGI.N,Financials,78.7,6.589002811134289,430.70667000000003,7.97983425665557,10.1,61.381159906
62,CVX.N,Energy,4.8,7.65454301633038,8.071,7.817439542696571,9.6,18.126680028
63,AIZ.N,Financials,,4.45225375273683,10.58,4.73845538166687,,28.095631591
64,PRGO.N,Health Care,9.1,4.026740495616299,10.32,10.12358068645,,36.388530385
65,CNC.N,Health Care,14.37,3.3543620825289304,14.0756,7.141611985162231,14.22775,37.754813936
66,AKAM.OQ,Information Technology,22.8,3.3323705292640797,19.860670000000002,5.2737955216545895,,32.838182579
67,COG.N,Energy,9.6,2.50716636572394,21.1068,4.61120412139892,10.243,36.994770783
68,BIIB.OQ,Health Care,23.6,3.49572817149596,32.3032,8.26186828762839,5.16925,31.297283334
69,K.N,Consumer Staples,11.62,4.199103823717509,44.76571,4.96852323865743,-1.0,73.788582808
