,Instrument,GICS Sector Name,3 Month Total Return,6 Month Total Return,52 Week Total Return,Beta
0,SHW.N,Materials,11.608959282584,22.9646486152627,13.4175915405828,1.26064715775633
1,DTE.N,Utilities,1.1324070627473999,6.438636357797401,19.308669564611698,0.218892429410608
2,LOW.N,Consumer Discretionary,13.6542879239894,13.5534975370235,0.991559820211552,1.2866743371758602
3,WBA.OQ,Consumer Staples,6.210537929643969,-10.099172369991999,-19.1613998052206,0.9029033486080429
4,MAR.OQ,Consumer Discretionary,-2.0287509553136,7.4847177276782,2.00632621717269,1.29646471257074
5,EMR.N,Industrials,5.51274371372315,-0.899145158692582,-12.954789240351401,1.37481065980706
6,WEC.N,Utilities,9.01528961778808,17.3806047927695,37.0702891795489,0.021740354200847
7,LEG.N,Consumer Discretionary,13.043755595952499,-0.6635210337161739,-4.583843629944099,1.12701047738822
8,REG.OQ,Real Estate,-0.037376212251993994,7.255639765718531,7.922022662419059,0.49550978881903296
9,MS.N,Financials,5.32607850941322,4.73074091474988,-3.5107726231766403,1.3473039813579
10,BLK.N,Financials,-1.74522965664803,2.05905302932596,-4.57851171761078,1.5471837280542702
11,WYNN.OQ,Consumer Discretionary,1.84029147583769,2.5232275719781203,-9.157951845626009,2.07082270097697
12,HOLX.OQ,Health Care,3.36538461810916,3.82112114383166,25.094864661230602,0.7744365058792041
13,BRKb.N,Financials,2.51998440227319,2.94650286550469,-2.7555596650416803,0.8518494518735149
14,DVN.N,Energy,9.518997153585019,-4.45245660657742,-26.612627297247,2.3699150924132697
15,ALLE.N,Industrials,-3.4147241016640604,16.1206288112307,16.1265972853481,1.17834197131565
16,PEAK.N,Real Estate,7.358692531453941,12.108409874519598,33.8500981626124,0.22390065135636497
17,DLTR.OQ,Consumer Discretionary,-0.679902093440321,9.713599038306711,28.140350876279303,0.58160358562496
18,PAYX.OQ,Information Technology,-5.785482361158531,3.8325761794626403,12.6583120532054,0.8718353755691249
19,AAL.OQ,Industrials,-14.724848206132199,-11.071900680007602,-30.297010754979702,1.73193400451973
20,TER.OQ,Information Technology,31.818935770657898,43.76036693047689,57.005537962316,1.55611752904015
21,WDC.OQ,Information Technology,75.3288149527484,33.873388969084,15.120331493199698,1.87472251408294
22,PWR.N,Industrials,3.12536949753777,4.41930913988504,12.1874174625974,1.20944493253094
23,XOM.N,Energy,0.4051485142407829,-5.80219921764699,-7.55255927318336,1.00404162038073
