,Instrument,GICS Sector Name,3 Month Total Return,6 Month Total Return,52 Week Total Return,Beta
0,SHW.N,Materials,-19.6500280085803,-6.00771223436589,-6.988765416171139,1.4380124642533
1,DTE.N,Utilities,2.41444385878424,19.4689013214835,6.17176056324582,0.1657726460542
2,LOW.N,Consumer Discretionary,-20.0874990353573,-7.916149934778691,5.36563929923928,1.49840724527954
3,WBA.OQ,Consumer Staples,8.76764020647856,17.1862090098825,7.55201235345497,0.830847854762633
4,MAR.OQ,Consumer Discretionary,-16.7434913544937,-21.9188617363653,-18.271632443808397,1.34573964842659
5,EMR.N,Industrials,-23.957633374630298,-17.645333744251,-11.7413812012972,1.2515929323201298
6,WEC.N,Utilities,5.8214036194867305,20.8158940166745,10.4726140354778,0.007850218468449001
7,LEG.N,Consumer Discretionary,-19.5558796551604,-16.4884030393438,-20.208641381903103,1.07560705466096
8,REG.OQ,Real Estate,-10.3056584291426,-0.7616807901384192,-14.1530584524826,0.47994314439965896
9,MS.N,Financials,-16.3863961998667,-21.6146626508648,-23.9796404443751,1.29837931730264
10,BLK.N,Financials,-19.046909038421,-26.8404929808176,-25.2662262759447,1.5919044652770502
11,WYNN.OQ,Consumer Discretionary,-20.531350805797103,-38.937414609651206,-35.4669370585835,1.4551113798902198
12,HOLX.OQ,Health Care,1.84669871071457,-0.4204798392421721,-7.1494464921875895,0.7757834158153841
13,BRKb.N,Financials,-8.493226684660451,3.21234877253191,-0.7123507511984101,0.955131467910931
14,DVN.N,Energy,-34.0738188262175,-36.308021631813396,-32.3898168651622,2.16292372154694
15,ALLE.N,Industrials,-5.64351182191017,2.4418730494570897,2.3465080067346604,1.1016152848539098
16,PEAK.N,Real Estate,6.03999328060383,19.6985595689057,10.088247321930199,0.24463952786745102
17,DLTR.OQ,Consumer Discretionary,-0.573099417669076,-3.41967735287642,-22.080659952020998,0.639455714653337
18,PAYX.OQ,Information Technology,-11.753492522796199,-5.36419269609474,-4.44770918312506,1.04316718960378
19,AAL.OQ,Industrials,-20.3132498788346,-24.682377944569698,-37.1642256844435,1.31825696739393
20,TER.OQ,Information Technology,-14.3500586009749,-18.7886462121132,-24.265724269914198,1.33262130224095
21,WDC.OQ,Information Technology,-32.5320790968198,-51.82519525129211,-53.019865584451,1.2185361109658301
