,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,14.625,6.8157324683228095,41.0404,11.5332219791746,17.7052,74.253685757
1,DTE.N,Utilities,6.3,3.53462169847479,10.45025,3.85719419939214,5.4965,56.385068761999996
2,LOW.N,Consumer Discretionary,19.366670000000003,8.20382689334529,116.1717,11.8976124111354,15.58143,74.317824034
3,WBA.OQ,Consumer Staples,17.5,3.2766999598942,25.357670000000002,7.869909180217871,11.2,35.041133233000004
4,MAR.OQ,Consumer Discretionary,25.0,9.57269077970948,157.3117,10.9764962050928,18.57,69.695431472
5,EMR.N,Industrials,19.4,9.36951655642964,27.55663,10.408464299574,11.43467,34.618181818000004
6,WEC.N,Utilities,5.65,1.8466612843319399,11.172830000000001,2.90437310083947,4.67033,53.755158318
7,LEG.N,Consumer Discretionary,4.9,7.83074191964172,14.626,9.346657817464859,6.2,51.465253718999996
8,REG.OQ,Real Estate,,5.74605100905429,4.6,5.7527342056006505,,34.807960975
9,MS.N,Financials,,3.4075479386377205,12.0274,10.690748807340599,19.128,84.3224775225
10,BLK.N,Financials,23.5,7.68793489189652,13.116670000000001,12.461725597790101,10.82475,13.450292398
11,WYNN.OQ,Consumer Discretionary,10.56667,8.04351682665906,47.04683,11.6363878678346,,89.944119387
12,HOLX.OQ,Health Care,14.55,7.83371449802414,20.18833,7.53767923662474,8.62833,57.801831228000005
13,BRKb.N,Financials,,5.5339935650600305,7.715,8.61977131583983,,22.56936118
14,DVN.N,Energy,2.3,11.166831361514001,11.77933,15.906956293464198,63.044,32.7355971
15,ALLE.N,Industrials,23.7,4.4991535592596605,59.12,9.37372735081156,11.284,78.462927555
16,PEAK.N,Real Estate,5.6,4.3471403468886605,5.54333,4.33303559898005,,58.480369123
17,DLTR.OQ,Consumer Discretionary,13.2,5.540707632432389,15.007179999999998,6.71514939098994,9.2326,44.151380605
18,PAYX.OQ,Information Technology,76.3,6.3684326491867,45.28229,9.150932686251949,8.29,0.0
19,AAL.OQ,Industrials,12.2,5.24285028807697,92.99,10.8106801222663,8.73975,103.211859172
20,TER.OQ,Information Technology,,9.2342163896486,30.19933,10.8973469847136,9.24,15.777797609
21,WDC.OQ,Information Technology,17.8,8.168612374028879,13.93886,10.2090167776547,-2.7,49.209355592
22,PWR.N,Industrials,,7.66738496871102,10.7382,8.85788732190571,22.365,15.040413469
23,XOM.N,Energy,7.433330000000001,6.92690600360099,11.419130000000001,7.80430592024266,23.1985,17.875660795
24,CMA.N,Financials,,7.352894853955821,17.371679999999998,11.5190389017361,20.1,
25,DISCK.OQ,Communication Services,9.0,5.477378342752,20.85,10.6106237606701,7.0,74.641558966
26,NDAQ.OQ,Financials,15.45,5.43935284031489,14.114289999999999,6.295235503267519,13.05,41.707147814
27,DPZ.N,Consumer Discretionary,69.6,3.4954174702643996,-13.0625,6.3371539993431405,23.1,753.7255932889999
28,HES.N,Energy,4.8,10.4319734372461,3.27427,12.0944088646835,,36.092287
29,BXP.N,Real Estate,5.4,5.50856586766186,8.6925,6.9570951316153,,55.902762301
30,BEN.N,Financials,,6.61731683319838,13.5925,10.752711801168198,-4.40475,6.08096828
31,APA.OQ,Energy,,11.8480481147075,7.73425,11.4327197310992,127.56200000000001,49.111432706
32,AMAT.OQ,Information Technology,49.2,9.29126653906239,55.074,13.000661196147599,16.975,43.681092643999996
33,FLT.N,Information Technology,,8.64509972159831,25.37571,11.9647308540373,14.7,55.137765831
34,ZION.OQ,Financials,,8.092220599711741,12.02881,11.6236894591594,,
35,RF.N,Financials,,8.85190816139897,11.86171,11.532550986531101,,
36,DISH.OQ,Communication Services,4.5,8.365583043037809,14.03475,10.1118786755023,-41.242,68.87767909
37,PEG.N,Utilities,6.5,3.4434733645347295,11.05443,5.17605134880432,7.255,49.568416068999994
38,ALL.N,Financials,,5.670796319137501,14.04778,8.35166562893747,14.8525,21.971558078
39,SLB.N,Energy,7.12,10.8454803230347,7.70608,9.60971436853142,26.200329999999997,32.814641183
40,PGR.N,Financials,,3.85200706647637,23.51,7.42218860006805,25.8085,25.248953783
41,NOV.N,Energy,2.9,10.1970837809765,2.36775,9.80654356743822,41.0,16.073968706
42,SWKS.OQ,Information Technology,32.6,8.21260945828819,27.90229,6.63916242115098,10.9,0.0
43,EL.N,Consumer Staples,26.07625,6.11501751081285,42.9981,7.13680974948892,10.433,42.936757935
44,NOC.N,Industrials,14.375,4.9123311286439195,32.01786,7.5759649006482,18.9965,68.157871238
45,PKG.N,Materials,16.85,,28.25,14.1849043115782,10.61,54.842447189
46,CSX.OQ,Industrials,13.85,6.96662230119126,26.5063,10.796708048512,23.2118,44.511873351000006
47,MSCI.N,Financials,25.6,6.298239884181349,203.01483000000002,9.661783654547689,19.0,83.824323698
48,CERN.OQ,Health Care,17.35,5.44327329427451,15.5525,8.84123681078424,8.23333,9.915450927
49,MGM.N,Consumer Discretionary,7.2333300000000005,9.43588573820127,9.03,10.768000553743999,3.0,52.476000403
50,ANSS.OQ,Information Technology,9.7,8.52484098657596,13.12,11.0503772479374,15.6,0.0
51,UNH.N,Health Care,19.724,5.16780468303371,24.37583,7.950027094750251,17.729,37.85746709
52,ALGN.OQ,Health Care,46.8,11.5851133930054,29.904,15.2264368172249,24.828000000000003,0.0
53,NLSN.N,Industrials,-0.2,4.82306824049924,15.527000000000001,7.889598185298411,8.7585,65.51536789800001
54,TTWO.OQ,Communication Services,34.175,4.89156565393656,19.3285,9.777122403000359,34.8485,0.538930875
