,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,18.83333,6.8157324683228095,48.08563,13.2411986036639,11.137,67.808096186
1,DTE.N,Utilities,6.1,3.53462169847479,10.76833,5.804958403027659,5.9915,59.590303858
2,LOW.N,Consumer Discretionary,19.23333,8.2037081666428,6.925,10.202077879223,15.45,90.732211674
3,WBA.OQ,Consumer Staples,14.95,3.2766999598942,17.29029,5.325655387653059,2.76133,41.075436713
4,MAR.OQ,Consumer Discretionary,49.6,9.57269077970948,433.76767,11.335087953907001,8.35,93.962037276
5,EMR.N,Industrials,18.7,9.35301514422611,30.09,12.2467575459445,6.50775,40.881806488
6,WEC.N,Utilities,5.9,1.8466612843319399,11.815999999999999,5.804958403027659,6.2325,55.394613216
7,LEG.N,Consumer Discretionary,,7.83074191964172,,11.8811627621446,,61.85147507600001
8,REG.OQ,Real Estate,4.9,5.745542093026001,4.736669999999999,8.549776378379379,,38.39112670000001
9,MS.N,Financials,,3.4075479386377205,11.899000000000001,11.618265162792099,7.99533,84.3491311276
10,BLK.N,Financials,22.0,7.68793489189652,16.395,11.618265162792099,7.28075,12.423528232
11,WYNN.OQ,Consumer Discretionary,12.13333,8.04351682665906,46.681000000000004,11.335087953907001,92.1,87.11494381
12,HOLX.OQ,Health Care,15.5,7.83371449802414,24.994,9.378326821159028,7.4,59.248415741
13,BRKb.N,Financials,,5.5339935650600305,6.485,8.0212253959719,,19.432595580999998
14,DVN.N,Energy,,11.2208008165641,5.073,14.2123581707643,,43.408851926000004
15,ALLE.N,Industrials,21.7,4.4991535592596605,52.1622,10.079331773022199,8.305,65.24838901300001
16,PEAK.N,Real Estate,,4.34682089330722,3.7333300000000005,8.549776378379379,,48.786931065
17,DLTR.OQ,Consumer Discretionary,13.633329999999999,5.5406184397509595,16.46944,8.95513999810893,7.11425,37.620424853
18,PAYX.OQ,Information Technology,107.2,6.3684326491867,42.09357,9.47733900893234,8.44,23.314499839
19,AAL.OQ,Industrials,13.433329999999998,5.24285028807697,141.3,13.633734384231401,11.28075,100.48766376
20,TER.OQ,Information Technology,,9.2342163896486,36.88767,12.653514428169599,13.58,21.051713608
21,WDC.OQ,Information Technology,20.25,8.168612374028879,21.564,12.3019579733972,,51.35438528
22,PWR.N,Industrials,,7.66738496871102,11.630999999999998,11.9047329479292,10.478,25.21841873
23,XOM.N,Energy,3.7,6.92690600360099,5.75229,14.2123581707643,5.653,19.134838951
24,CMA.N,Financials,,7.352894853955821,11.08517,11.084802783336999,,
25,DISCK.OQ,Communication Services,10.7,5.477378342752,21.07,10.3673460775411,,56.699837163000005
26,NDAQ.OQ,Financials,10.0,5.43935284031489,15.973329999999999,11.618265162792099,7.86225,37.524927986
27,DPZ.N,Consumer Discretionary,96.85,3.4954174702643996,-8.3168,11.335087953907001,13.6042,588.88047632
28,HES.N,Energy,1.05,10.4653757704536,-1.38314,14.2123581707643,,43.249722271
29,BXP.N,Real Estate,,5.508070084441969,11.32,8.549776378379379,,60.02891559
30,BEN.N,Financials,,6.61751403933321,10.16,11.618265162792099,-4.48175,6.169854604
31,APA.OQ,Energy,,11.8480481147075,-1.14,14.2123581707643,-20.95,63.050198734
32,AMAT.OQ,Information Technology,33.2,9.29126653906239,37.2136,12.653514428169599,21.39333,39.277001553000005
33,FLT.N,Information Technology,,8.64509972159831,25.1721,9.47733900893234,14.80775,57.57377834
34,ZION.OQ,Financials,,8.092220599711741,10.05722,11.084802783336999,4.4,
35,RF.N,Financials,,8.85190816139897,10.23371,11.084802783336999,6.3825,
36,DISH.OQ,Communication Services,3.94,8.365583043037809,6.870830000000001,10.3673460775411,-14.68033,53.853343775
37,PEG.N,Utilities,13.9,3.4434733645347295,10.72,5.804958403027659,3.0,51.810807358000005
38,ALL.N,Financials,,5.670796319137501,13.51571,8.0212253959719,2.233,20.322412577999998
39,SLB.N,Energy,17.2,10.8454803230347,9.36133,12.310044787855198,-3.2338,38.748416519
40,PGR.N,Financials,,3.85200706647637,20.395,8.0212253959719,-0.23,24.074751856
41,NOV.N,Energy,6.0,10.1841070590959,8.27529,12.310044787855198,,22.432031635999998
42,SWKS.OQ,Information Technology,29.25,8.21260945828819,26.87714,12.653514428169599,12.05,0.0
43,EL.N,Consumer Staples,29.3275,6.11501751081285,51.61038,6.23868744480732,10.38733,43.614981465
44,NOC.N,Industrials,22.76667,4.9123311286439195,38.256879999999995,11.464173959116001,10.514000000000001,61.146356507
45,PKG.N,Materials,,,,11.7550868190521,,44.818787846000006
46,CSX.OQ,Industrials,12.75,6.96662230119126,30.136,10.803269286219098,7.6292,57.784420483000005
47,MSCI.N,Financials,33.75,6.298239884181349,-127.525,9.47733900893234,13.2,102.56122104200001
48,CERN.OQ,Health Care,19.15,5.44327329427451,19.72,9.378326821159028,13.875,19.388316395
49,MGM.N,Consumer Discretionary,6.2333300000000005,9.43588573820127,8.388,11.335087953907001,-18.0,46.871041999999996
50,ANSS.OQ,Information Technology,13.95,8.52484098657596,14.05,10.3348266612513,7.1,12.614938093
51,UNH.N,Health Care,20.76667,5.16787674801002,25.29267,8.96337615219864,13.202329999999998,39.554647997
52,ALGN.OQ,Health Care,52.65,11.5851133930054,32.2725,9.378326821159028,19.569670000000002,0.0
