Date,FMC.N,ORLY.OQ,SBUX.OQ,HAS.OQ,GRMN.OQ,MCD.N,HLT.N,AZO.N,BKNG.OQ,YUM.N,TSCO.OQ,AMZN.OQ,ETSY.OQ,EXPE.OQ,WBA.OQ,EL.N,BFb.N,PEP.OQ,HSY.N,COST.OQ,LW.N,MNST.OQ,KMB.N,PM.N,CLX.N,CL.N,ALLE.N,HON.N,TDG.N,FAST.OQ,PCAR.OQ,MMM.N,BA.N,ITW.N,DE.N,CMI.N,DAL.N,CAT.N,EXPD.OQ,SBAC.OQ,AON.N,MMC.N,AXP.N,CBOE.Z,MKTX.OQ,UNH.N,BIIB.OQ,REGN.OQ,ZTS.N,EW.N,ILMN.OQ,MRK.N,MTD.N,WAT.N,LLY.N,GILD.OQ,ABBV.N,A.N,VRTX.OQ,STE.N,RMD.N,VAR.N,HUM.N,COG.N,PAYX.OQ,FLT.N,XLNX.OQ,ZBRA.OQ,NOW.N,PAYC.N,CDNS.OQ,VRSN.OQ,PYPL.OQ,ENPH.OQ,QCOM.OQ,CSCO.OQ,ADSK.OQ,CDW.OQ,MSFT.OQ,CTXS.OQ,V.N,ADP.OQ,INTC.OQ,KEYS.N,MSI.N,AMD.OQ,AVGO.OQ,MXIM.OQ,INTU.OQ,MA.N,ACN.N,WU.N,TXN.OQ,GOOGL.OQ,OMC.N
2018-12-31,64.09314432,344.33,64.4,81.25,63.32,177.57,71.8,838.34,1722.42,91.92,83.44,1501.97,47.57,112.65,68.33,130.1,47.58,110.48,107.18,198.51030225,73.56,49.22,113.94,66.76,154.14,59.52,79.71,132.12,303.6751926678983,25.933513095,55.10183122370592,190.54,322.5,126.69,149.17,133.64,49.9,127.07,68.09,161.89,145.36,79.75,95.32,97.83,211.31,249.12,300.92,373.5,85.54,51.056615609999994,299.93,76.41,565.58,188.65,115.72,62.55,92.19,67.46,165.71,106.85,113.87,113.31,286.48,22.35,65.15,185.72,85.17,159.23,178.05,122.45,43.48,148.29,84.09,4.73,56.91,43.33,128.61,81.05,101.57,102.46,131.94,131.12,46.93,62.08,115.04,18.46,254.28,50.85,196.85,188.65,141.01,17.06,94.5,1044.96,73.24
2019-01-31,69.1540416,344.66,68.14,90.56,69.18,178.78,74.48,847.34,1832.81,93.98,85.4,1718.73,54.65,119.25,72.26,136.42,47.25,112.67,106.1,209.15156925,72.3,57.24,111.38,76.72,148.38,64.68,85.86,143.63,349.16485424086403,29.98546953,63.18291882704256,200.3,385.62,137.31,164.0,147.11,49.43,133.16,69.3,182.53,156.23,88.19,102.7,93.27,214.77,270.2,333.78,429.27,86.16,56.806609859999995,279.79,74.43,638.16,231.22,119.86,70.01,80.29,76.05,190.91,114.06,95.17,132.03,308.99,24.95,70.8,201.81,111.94,173.6,220.02,148.24,48.03,169.27,88.76,7.23,49.52,47.29,147.2,83.27,104.43,102.54,135.01,139.84,47.12,74.02,116.91,24.41,268.25,54.27,215.82,211.13,153.55,18.25,100.68,1125.89,77.88
2019-02-28,77.559984,371.96,70.26,84.9,83.97,183.84,83.1,938.97,1697.04,94.5,95.35,1639.83,71.27,123.31,71.19,156.94,49.49,115.64,110.68,213.1566615,69.31,63.83,116.83,86.94,158.03,65.87,89.96,154.07,387.64442858674335,31.21543917,65.3815918265184,207.39,439.96,144.08,164.04,154.09,49.58,137.34,74.95,180.56,171.53,93.02,107.74,95.91,243.88,242.22,328.01,430.74,94.23,56.42994357,312.77,81.29,680.91,242.22,126.29,65.02,79.24,79.44,188.75,120.96,102.43,134.36,285.04,24.62,77.02,233.28,125.3,200.51,239.44,181.73,57.25,178.04,98.07,9.07,53.39,51.77,163.01,93.89,112.03,105.5,148.12,153.03,52.96,84.41,143.12,23.53,275.36,54.43,247.13,224.77,161.38,17.87,105.78,1126.55,75.7
