,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,12.9,6.8157324683228095,46.4878,8.87557014049422,14.7,50.96710216
1,DTE.N,Utilities,4.7,3.53462169847479,10.45433,3.43327287255156,4.59267,55.363939665
2,LOW.N,Consumer Discretionary,17.776670000000003,8.20382689334529,92.08892,8.08078943211196,12.92857,70.930285095
3,WBA.OQ,Consumer Staples,7.95,3.2766999598942,17.61443,9.10804822425448,11.624,38.589304184
4,MAR.OQ,Consumer Discretionary,7.377999999999999,9.57269077970948,43.37625,9.65440051771983,15.25,61.357570511000006
5,EMR.N,Industrials,15.3,9.36951655642964,26.75429,8.66055449347858,11.0,46.551603171000004
6,WEC.N,Utilities,5.9,1.8466612843319399,11.12,2.7946775163462503,5.61,53.17572299
7,LEG.N,Consumer Discretionary,,7.83074191964172,25.5465,7.719266552314321,,47.190577332
8,REG.OQ,Real Estate,,5.74605100905429,3.97,5.278194470409139,12.95,38.491915249
9,MS.N,Financials,,3.4075479386377205,9.79467,11.1938056529603,14.626,83.5523455548
10,BLK.N,Financials,21.9,7.68793489189652,16.052,11.7394712003721,14.28367,14.346595055
11,WYNN.OQ,Consumer Discretionary,10.8,8.04351682665906,70.7484,11.5919400316547,,97.516370865
12,HOLX.OQ,Health Care,8.13333,7.83371449802414,17.202,7.39981085487278,9.02,60.957344072
13,BRKb.N,Financials,,5.5339935650600305,7.0625,6.9294671797775305,,26.259713955
14,DVN.N,Energy,,11.166831361514001,12.13143,14.3472667241954,,44.387130617
15,ALLE.N,Industrials,22.83333,4.4991535592596605,86.19933,9.218732825969528,12.085999999999999,92.63384381700001
16,PEAK.N,Real Estate,5.1,4.3471403468886605,6.3725,4.186878307589129,,60.733690076
17,DLTR.OQ,Consumer Discretionary,11.325,5.540707632432389,17.0225,5.82529268011515,11.76,53.98034377
18,PAYX.OQ,Information Technology,51.5,6.3684326491867,46.2675,7.439091297699941,8.3025,0.0
19,AAL.OQ,Industrials,12.05,5.24285028807697,51.475,7.711026975659911,1.13333,86.544135945
20,TER.OQ,Information Technology,16.1,9.2342163896486,18.09725,7.280682589912269,14.3,16.167628161
21,WDC.OQ,Information Technology,20.6,8.168612374028879,21.91333,8.902775279184999,26.12,53.526802068
22,PWR.N,Industrials,7.2,7.66738496871102,9.46317,6.63972896613044,24.708000000000002,9.750050421000001
23,XOM.N,Energy,4.6175,6.92690600360099,8.8015,6.64352582933931,13.225,19.743111472
24,CMA.N,Financials,,7.352894853955821,11.22527,10.461758611787,23.37,
25,DISCK.OQ,Communication Services,15.55,5.477378342752,21.46667,11.094872855275801,14.05,59.4239856
26,NDAQ.OQ,Financials,31.0,5.43935284031489,12.74429,6.4146953147189105,9.6,39.887080704
27,DPZ.N,Consumer Discretionary,62.3,3.4954174702643996,-12.46667,4.17433243769917,19.73333,717.9628791010001
28,HES.N,Energy,-2.2,10.4319734372461,-7.6175,11.975861313155802,,30.387998393
29,BXP.N,Real Estate,5.2,5.50856586766186,3.574,5.78463794344825,1.98,55.257792773999995
30,BEN.N,Financials,28.8,6.61731683319838,15.084000000000001,11.7874669603464,-0.5660000000000001,14.199158982
31,APA.OQ,Energy,,11.8480481147075,4.772,8.17423904208701,,52.66596807
32,AMAT.OQ,Information Technology,26.45,9.29126653906239,34.3738,12.1071685257988,27.61,31.540504648000002
33,FLT.N,Information Technology,,8.64509972159831,20.74,10.044792683519,14.53667,55.575949138
34,ZION.OQ,Financials,,8.092220599711741,8.70605,,19.65,
35,RF.N,Financials,,8.85190816139897,8.246319999999999,9.585919962762071,10.81,
36,DISH.OQ,Communication Services,4.04,8.365583043037809,18.56211,7.66914147505685,-4.55,76.973849985
37,PEG.N,Utilities,6.5,3.4434733645347295,10.43875,4.41382714599308,0.57,47.296592141000005
38,ALL.N,Financials,,5.670796319137501,12.40222,8.166866914833571,15.7685,23.577265973000003
39,SLB.N,Energy,6.32,10.8454803230347,8.3428,7.998981489034259,39.35,32.081118652
40,PGR.N,Financials,,3.85200706647637,17.05,6.90869183591671,19.122,27.16541548
41,NOV.N,Energy,2.4,10.1970837809765,1.73767,7.7132617563099,,18.667595980999998
42,SWKS.OQ,Information Technology,38.7,8.21260945828819,27.8935,6.635340551031691,16.6,0.0
43,EL.N,Consumer Staples,19.35333,6.11501751081285,44.083,5.76153883909488,10.86,44.795585653
44,NOC.N,Industrials,10.92,4.9123311286439195,38.798559999999995,5.80951578086532,8.12075,57.302914671
45,PKG.N,Materials,15.05,,28.86,12.542664227009402,10.32333,60.250271051999995
46,CSX.OQ,Industrials,10.9,6.96662230119126,21.332729999999998,9.35287703051834,17.072329999999997,49.127767868999996
47,MSCI.N,Financials,14.905,6.298239884181349,-114.31298999999999,7.7872367722421805,18.0555,86.72667153100001
48,CERN.OQ,Health Care,19.9,5.44327329427451,22.678,7.45970183509112,14.9,12.550916179000001
49,MGM.N,Consumer Discretionary,10.175,9.43588573820127,11.06275,10.3963786726891,,56.440698088999994
50,ANSS.OQ,Information Technology,4.88,8.52484098657596,14.133329999999999,8.04074989320688,10.0,0.0
51,UNH.N,Health Care,12.07667,5.16780468303371,21.125999999999998,5.65325860269363,15.721670000000001,45.066225618000004
52,ALGN.OQ,Health Care,56.8,11.5851133930054,24.22,10.7461197296859,25.688000000000002,0.0
53,NLSN.N,Industrials,5.0,4.82306824049924,22.668000000000003,7.71075505904047,4.95,64.866191996
54,TTWO.OQ,Communication Services,46.13333,4.89156565393656,28.168670000000002,6.31821927586415,29.886,20.063520532000002
55,BIO.N,Health Care,5.5,5.789374183736481,4.3,7.318815637299889,15.19,14.381988555
56,CAG.N,Consumer Staples,12.86667,4.936425771450519,22.43329,4.00459506559124,11.626,42.356732916999995
57,XLNX.OQ,Information Technology,48.8,7.107336940653241,28.06138,8.004291639853589,9.156,36.650251703
58,INCY.OQ,Health Care,18.5,5.854574273119679,15.57675,7.087649240912219,,60.832178593
59,ADBE.OQ,Information Technology,46.9,6.97977943808432,23.235,7.696330703894,27.4,20.309036083
60,NTRS.OQ,Financials,,1.11142192873839,12.88279,7.23070514268158,11.77433,91.87931679299999
61,SPGI.N,Financials,72.1,6.589002811134289,158.8062,10.547090613766699,13.6,66.679139383
62,CVX.N,Energy,2.6,7.65454301633038,5.9862,8.952112369560211,41.6,23.918319091
63,AIZ.N,Financials,,4.45225375273683,9.35,6.63749968273783,19.4,20.658184127000002
64,PRGO.N,Health Care,8.45,4.026740495616299,13.457139999999999,6.43908042970574,9.6,49.318156683999995
65,CNC.N,Health Care,14.3,3.3543620825289304,12.9425,5.534137434028009,12.052,43.468110935
66,AKAM.OQ,Information Technology,3.795,3.3323705292640797,11.57325,5.67873887271276,12.65333,16.563439572
67,COG.N,Energy,,2.50716636572394,11.649000000000001,4.803297324380219,32.96667,37.193168529
