,Instrument,GICS Sector Name,3 Month Total Return,6 Month Total Return,52 Week Total Return,Beta
0,SHW.N,Materials,-9.888540992734939,-11.6990804518312,16.8664614508026,
1,DTE.N,Utilities,3.68663594810605,-0.661879200578863,2.12513683460929,
2,LOW.N,Consumer Discretionary,0.899294242130755,-5.67378172045704,31.267718941423897,
3,WBA.OQ,Consumer Staples,8.11784811316882,9.45048833363693,45.33091044386249,
4,MAR.OQ,Consumer Discretionary,-5.88221703651372,-11.4105840703868,2.7273592801976503,
5,EMR.N,Industrials,-20.3346342697359,-14.716213849175698,-25.6941275969483,
6,WEC.N,Utilities,6.99368668633564,1.94828028854581,11.7719485723894,
7,LEG.N,Consumer Discretionary,-7.94800842094857,-1.82741558914373,28.5870284275368,
8,REG.OQ,Real Estate,-1.11721045681584,-6.58979293705563,11.0715662485363,
9,MS.N,Financials,-12.1881651259239,-4.11942020821294,-0.149695909996539,
10,BLK.N,Financials,-12.711344355460698,-15.1515162204051,-3.83925595294621,
11,WYNN.OQ,Consumer Discretionary,-31.2277057074824,-44.1243206304678,-59.5711290269617,
12,HOLX.OQ,Health Care,10.9642616287829,27.4078662105303,65.8870967794336,
13,BRKb.N,Financials,-5.12195121767124,-8.133638949864709,-4.63623908989101,
14,DVN.N,Energy,-36.0505611639876,-31.4344481853898,-44.46552386367679,
15,ALLE.N,Industrials,1.44843107296515,6.3317831746299005,21.4109531913888,
16,PEAK.N,Real Estate,0.029308233707924996,-5.19574499071502,-4.13325836731508,
17,DLTR.OQ,Consumer Discretionary,-14.978821715815101,-19.1307532652466,18.8587834271265,
18,PAYX.OQ,Information Technology,-2.32125100396392,-6.35245770896924,13.4127923057756,
19,AAL.OQ,Industrials,6.66606080583361,-12.9833219678936,13.2802823068858,
20,TER.OQ,Information Technology,-8.622621615461481,-1.9121026756777701,-7.043711182920929,
21,WDC.OQ,Information Technology,-11.4389186435377,-15.9366210603961,-16.0663140832332,
22,PWR.N,Industrials,-16.406249999625402,-11.0589085643182,-33.1068225060182,
23,XOM.N,Energy,-12.151955613880599,-11.5714074650017,-22.756708819618,
24,CMA.N,Financials,-17.6784823846646,-6.399676148983491,-14.469376800388801,
25,DISCK.OQ,Communication Services,-17.189542484411,-18.1788827894206,-34.9672783252956,
26,NDAQ.OQ,Financials,3.2654495023684196,3.95991005057581,19.559516896897602,
27,DPZ.N,Consumer Discretionary,1.19528931753927,12.760796706090801,47.6884281330121,
28,HES.N,Energy,-21.595128469606298,-22.9299309699712,-46.1771793928735,
29,BXP.N,Real Estate,-8.015335443296209,-14.981756092394098,3.9100351420621604,
30,BEN.N,Financials,-20.451900597564897,-24.441324119106103,-27.725926175021602,
31,APA.OQ,Energy,-29.898416939328698,-31.2977644359237,-57.9927450390238,
32,AMAT.OQ,Information Technology,-18.740183968248196,-33.5955802446845,-27.427660689987803,
33,FLT.N,Information Technology,-4.877293005712049,3.5625126531770896,7.26815290637157,
34,ZION.OQ,Financials,-10.3163992861352,4.621606151839059,-0.8276938814743559,
35,RF.N,Financials,-6.7380442535917195,-0.628916274415781,-2.56513224426587,
36,DISH.OQ,Communication Services,-18.671280273891398,-20.4009753408949,-10.344827586208199,
37,PEG.N,Utilities,-0.043726033819712996,-0.42299398512593,8.38306210608055,
38,ALL.N,Financials,-11.0826072624312,-14.398692944584699,-2.70213110579732,
39,SLB.N,Energy,-17.1803959230534,-7.393562709372199,-28.295382082053102,
40,PGR.N,Financials,10.8372598781628,15.439788598693099,24.521063067597105,
41,NOV.N,Energy,-19.0515463902628,-19.4935661112035,-51.2590741447224,
42,SWKS.OQ,Information Technology,-13.364709518235099,-0.9339459152158391,65.5114472624098,
43,EL.N,Consumer Staples,-10.2001191398611,-3.3380304004051204,4.81172976765141,
44,NOC.N,Industrials,6.99272406299145,9.163956400815751,31.5678269557301,
45,PKG.N,Materials,-0.021144952203922002,-14.202142429198801,2.11407609937226,
46,CSX.OQ,Industrials,-16.1258524069864,-14.3618783927351,-7.4831302264989805,
47,MSCI.N,Financials,-0.45616626098495794,7.71615470647866,32.2810386322162,
48,CERN.OQ,Health Care,-6.74408218119832,-10.997442453299598,6.94894997552418,
49,MGM.N,Consumer Discretionary,7.12428497077788,6.1308603820128,-9.72830849896065,
50,ANSS.OQ,Information Technology,4.0554241293725894,8.68337451449341,15.838976675178401,
51,UNH.N,Health Care,1.32081591254434,5.0383230352389194,39.870651500144895,
52,ALGN.OQ,Health Care,-10.597912051505698,0.9646302237873441,4.338194573184141,
53,NLSN.N,Industrials,4.67947433534477,10.7018018476015,6.66097956928675,
54,TTWO.OQ,Communication Services,5.66105338780825,15.965395201932699,27.939262476647897,
55,BIO.N,Health Care,-4.98744656430469,3.7954039992985202,18.570581752413197,
56,CAG.N,Consumer Staples,10.6681538951154,24.8753381839191,32.8098029212332,
57,XLNX.OQ,Information Technology,-6.13040311463011,10.1059379231555,2.7051984645893596,
58,INCY.OQ,Health Care,26.803626545367102,47.206359872811795,169.958932239873,
59,ADBE.OQ,Information Technology,0.79847908559112,2.46070600382196,12.441679627709599,
60,NTRS.OQ,Financials,-7.871939144249049,0.890117142095503,4.3515825429740795,
61,SPGI.N,Financials,-8.00911810363974,-8.39478727297114,11.7248276870222,
62,CVX.N,Energy,-21.278987817173398,-22.3221200034945,-35.63439187002071,
63,AIZ.N,Financials,17.2834618889954,28.1662482621036,20.9515002900827,
64,PRGO.N,Health Care,0.155371481298228,10.3850384648351,26.653246508075398,
65,CNC.N,Health Care,-18.569958846141397,-3.1656216554073398,60.40531981208571,
66,AKAM.OQ,Information Technology,3.7241379325402097,6.1996893110952005,20.978120984051,
67,COG.N,Energy,-32.7792600173039,-18.9144692419001,-32.3468204818489,
68,BIIB.OQ,Health Care,-17.621304214576302,-22.6176363855731,-2.14757709616227,
69,K.N,Consumer Staples,10.168799580325,10.2098992638171,8.86935520547367,
70,EQIX.OQ,Real Estate,14.112524172191101,27.4716677709257,41.3854115012495,
71,DD.N,Materials,,,,
72,WFC.N,Financials,-5.549648894076519,-2.08658441904337,4.95035728537447,
73,SJM.N,Consumer Staples,5.353719507834009,5.90346441850964,18.059805131516896,
74,ZBRA.OQ,Information Technology,-27.332399790784002,-5.335765589712651,11.047211448699501,
75,CPRT.OQ,Industrials,-1.37254902177459,-5.55257510731847,3.92561983543105,
76,BFb.N,Consumer Staples,-0.203262437111951,9.76951567931588,5.8851483202244195,
77,NOW.N,Information Technology,-4.3534260692486,-3.45813832872126,23.952595555703503,
78,TT.N,Industrials,-18.192352261194998,-15.9773876857439,-5.96070596174393,
79,IBM.N,Information Technology,-10.5275472477389,-2.8428064360888303,-21.240371358178198,
80,PAYC.N,Information Technology,11.2633598255409,29.299363060451103,126.942425936826,
81,DXC.N,Information Technology,-5.3401011104646505,-6.337607105707249,6.47366853770328,
82,NFLX.OQ,Communication Services,6.131417102366839,58.330450303914205,51.9162841976678,
83,GL.N,Financials,0.820358426066492,9.256276128845231,9.86109194126799,
84,HON.N,Industrials,-2.5436954098229303,0.130316725009716,7.8943193321513,
85,APTV.N,Consumer Discretionary,-11.3185532884316,1.11449139331825,16.2737592346779,
86,GIS.N,Consumer Staples,5.10731163034059,10.5062400386644,10.088041072197301,
87,NRG.N,Utilities,-19.9100445645452,-17.844561148604,-36.4603763679148,
88,SEE.N,Materials,4.036353871263,13.170245953169598,41.046684554851105,
89,ROST.OQ,Consumer Discretionary,1.7454352547906298,-6.33886489380082,32.1517337837607,
90,BMY.N,Health Care,-7.645131839616161,-9.12177726054371,20.399844621621803,
91,ALB.N,Materials,-23.0377250256282,-15.3895053054597,-30.3648408473699,
