,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,35.86667,6.8157324683228095,59.56675,7.554462537886041,10.08933,69.199064236
1,DTE.N,Utilities,5.933330000000001,3.53462169847479,10.062669999999999,3.40941572676361,5.095,52.528741836
2,LOW.N,Consumer Discretionary,18.595,8.20382689334529,60.77855,8.8734186451254,16.366670000000003,62.301137763
3,WBA.OQ,Consumer Staples,8.36667,3.2766999598942,15.960560000000001,8.10468245186822,12.9758,31.484359609000002
4,MAR.OQ,Consumer Discretionary,26.3,9.57269077970948,-28.2544,9.8218623279134,16.46667,794.390715667
5,EMR.N,Industrials,17.95,9.36951655642964,28.229,9.365452361502062,5.5795,45.704742818999996
6,WEC.N,Utilities,4.933330000000001,1.8466612843319399,10.88167,2.3046062265879304,6.715,54.437099989
7,LEG.N,Consumer Discretionary,,7.83074191964172,,7.66143303443961,10.2,46.259669048999996
8,REG.OQ,Real Estate,,5.74605100905429,6.8,6.8385548622251,,47.234098616000004
9,MS.N,Financials,,3.4075479386377205,7.7275,14.8193232742042,8.55,82.8495145303
10,BLK.N,Financials,19.6,7.68793489189652,12.313830000000001,10.9280593112815,10.618,14.511096721
11,WYNN.OQ,Consumer Discretionary,11.78,8.04351682665906,91.24543,12.8198732770711,23.15,99.761816756
12,HOLX.OQ,Health Care,10.63333,7.83371449802414,26.1175,8.09123072671364,9.38,63.46768809100001
13,BRKb.N,Financials,,5.5339935650600305,6.6,6.60360138711815,,24.580072088
14,DVN.N,Energy,4.85,11.166831361514001,7.7601,14.197998774904999,4.5585,54.252529036999995
15,ALLE.N,Industrials,22.725,4.4991535592596605,90.537,9.794006715395131,11.607000000000001,98.087326121
16,PEAK.N,Real Estate,6.9,4.3471403468886605,8.7075,4.5407024001013605,,53.17719352899999
17,DLTR.OQ,Consumer Discretionary,11.1,5.540707632432389,17.992,5.05893274532812,19.0716,62.975316317
18,PAYX.OQ,Information Technology,37.71,6.3684326491867,53.208330000000004,7.143176835308241,9.6,0.0
19,AAL.OQ,Industrials,5.3,5.24285028807697,52.305170000000004,11.473317195140801,-16.188,78.646405699
20,TER.OQ,Information Technology,9.05,9.2342163896486,13.7874,10.878408905406198,,0.0
21,WDC.OQ,Information Technology,14.25,8.168612374028879,15.891670000000001,9.6194252416937,0.9,60.393048793999995
22,PWR.N,Industrials,,7.66738496871102,7.61017,6.226642901612,18.654,13.512542273
23,XOM.N,Energy,8.65,6.92690600360099,9.9245,7.0410253038515105,19.4065,17.952454094
24,CMA.N,Financials,,7.352894853955821,7.527260000000001,10.2728184850647,11.46,
25,DISCK.OQ,Communication Services,14.4,5.477378342752,24.24343,11.951814786214399,15.96667,57.607805168999995
26,NDAQ.OQ,Financials,2.62,5.43935284031489,11.18188,6.82097493700786,10.67575,29.650068983
27,DPZ.N,Consumer Discretionary,52.1,3.4954174702643996,-13.95,6.66294489283658,15.975,508.64457872300005
28,HES.N,Energy,-0.7,10.4319734372461,-4.1915,13.171364604251002,,24.421146223
29,BXP.N,Real Estate,,5.50856586766186,1.0522,5.906053763656889,8.0,53.811362147
30,BEN.N,Financials,4.78,6.61731683319838,12.262,12.192919196022197,-4.571000000000001,14.651240254000001
31,APA.OQ,Energy,5.7,11.8480481147075,5.72611,10.413190362191699,,47.877190092
32,AMAT.OQ,Information Technology,23.45,9.29126653906239,29.0004,13.2760304075878,22.35,37.367338544
33,FLT.N,Information Technology,,8.64509972159831,19.71333,9.52643803297593,12.0,50.91025277
34,ZION.OQ,Financials,,8.092220599711741,6.218430000000001,,15.114,
35,RF.N,Financials,,8.85190816139897,6.618530000000001,10.9402801154268,5.5755,
36,DISH.OQ,Communication Services,19.8,8.365583043037809,27.26489,7.14746025390434,-0.0865,81.939253471
37,PEG.N,Utilities,7.7666699999999995,3.4434733645347295,10.368219999999999,3.37401714125121,1.42,43.184486281999995
38,ALL.N,Financials,,5.670796319137501,11.87,7.8168787108181705,9.0325,20.374567577
39,SLB.N,Energy,5.625,10.8454803230347,7.30612,9.953700908765839,7.111000000000001,34.604036136
40,PGR.N,Financials,,3.85200706647637,14.992579999999998,6.28234841085248,7.8,25.882701535
41,NOV.N,Energy,0.095,10.1970837809765,-0.53588,10.990272870254099,-35.9,19.19092739
42,SWKS.OQ,Information Technology,35.56667,8.21260945828819,27.084429999999998,8.35423668931925,16.975,0.0
43,EL.N,Consumer Staples,27.27625,6.11501751081285,41.013999999999996,7.4068649414767895,10.5,38.45559978
44,NOC.N,Industrials,11.17,4.9123311286439195,35.0305,6.3573026445968,8.2545,53.627813235
45,PKG.N,Materials,12.46,,25.70075,12.7547994628883,5.146669999999999,58.68201366
46,CSX.OQ,Industrials,8.3,6.96662230119126,15.104000000000001,9.51320865337666,5.4124,47.44854299
47,MSCI.N,Financials,97.8,6.298239884181349,132.8982,7.80931005398804,22.343000000000004,63.66277277
48,CERN.OQ,Health Care,17.64,5.44327329427451,17.976670000000002,6.698061771108769,16.17,13.521291537
49,MGM.N,Consumer Discretionary,9.06667,9.43588573820127,8.0579,13.4420372748788,,62.033938799
50,ANSS.OQ,Information Technology,5.105,8.52484098657596,10.875,7.925536466243661,10.0,0.0
51,UNH.N,Health Care,12.76667,5.16780468303371,20.6284,5.3479500101677,15.774000000000001,47.407528253
52,ALGN.OQ,Health Care,68.0,11.5851133930054,29.101999999999997,13.519217798635399,22.8476,0.0
53,NLSN.N,Industrials,5.15,4.82306824049924,24.1914,6.97174590526058,12.25,61.328875888
54,TTWO.OQ,Communication Services,35.46667,4.89156565393656,27.07667,8.65344249242367,,46.134140013999996
55,BIO.N,Health Care,,5.789374183736481,3.9,7.06168519279682,,14.845398682
56,CAG.N,Consumer Staples,14.05,4.936425771450519,25.77875,3.96591169668862,7.27625,58.972917455
57,XLNX.OQ,Information Technology,8.79,7.107336940653241,24.30789,9.89938951458484,5.071000000000001,37.759810686
58,INCY.OQ,Health Care,23.5,5.854574273119679,78.09575,5.3712719722652995,49.5,78.363512707
59,ADBE.OQ,Information Technology,0.185,6.97977943808432,20.56983,9.89249294595267,28.177670000000003,21.408367514000002
60,NTRS.OQ,Financials,,1.11142192873839,11.523,8.824733650114661,11.07167,92.341344547
61,SPGI.N,Financials,45.0,6.589002811134289,215.61625,9.84920337901755,12.6875,75.638877252
62,CVX.N,Energy,3.925,7.65454301633038,5.21125,9.441651951410721,29.607,20.032218671
63,AIZ.N,Financials,,4.45225375273683,8.25,6.6551714709488,11.9,20.473425643
64,PRGO.N,Health Care,7.53333,4.026740495616299,8.99167,4.41240889620253,6.372000000000001,37.376153269
65,CNC.N,Health Care,8.8,3.3543620825289304,12.51867,7.65718477649392,17.26425,34.442877292
66,AKAM.OQ,Information Technology,5.225,3.3323705292640797,12.890999999999998,11.147647916674302,13.5,16.530072146
67,COG.N,Energy,5.0,2.50716636572394,6.40486,6.14728485341903,51.836000000000006,50.086340811999996
68,BIIB.OQ,Health Care,22.1,3.49572817149596,31.3885,7.72545379958071,9.49743,41.042814379
69,K.N,Consumer Staples,17.1,4.199103823717509,70.87013,4.88449594866328,7.2666699999999995,78.36689264399999
70,EQIX.OQ,Real Estate,18.75,2.82388321416805,9.315,6.795551854686099,22.8,70.372698973
71,DD.N,Materials,,7.78767781441134,,,,24.751050805
72,WFC.N,Financials,,4.4409092849318705,11.52838,7.54895947707435,6.3065,
73,SJM.N,Consumer Staples,6.98,2.62520877307041,12.3738,5.08471817458314,11.325,43.654781525
74,ZBRA.OQ,Information Technology,,10.1164510758362,27.43667,11.2297419589258,10.0,77.131882202
75,CPRT.OQ,Industrials,,7.1631194149954105,33.6,7.73997153496928,19.7,40.105448155
76,BFb.N,Consumer Staples,22.76667,5.529012194018309,48.30283,6.688617903038829,5.0,49.004244205
