Date,SHW.N,SEE.N,AMCR.N,FMC.N,LOW.N,DPZ.N,ROST.OQ,ORLY.OQ,EBAY.OQ,SBUX.OQ,GRMN.OQ,NKE.N,MCD.N,NVR.N,CMG.N,AZO.N,TJX.N,BBY.N,BKNG.OQ,YUM.N,HD.N,TSCO.OQ,AMZN.OQ,ETSY.OQ,EL.N,BFb.N,KO.N,HRL.N,PG.N,PEP.OQ,HSY.N,COST.OQ,LW.N,MNST.OQ,KMB.N,PM.N,CLX.N,MO.N,CL.N,CHD.N,CPRT.OQ,CHRW.OQ,JBHT.OQ,EFX.N,FAST.OQ,PCAR.OQ,MMM.N,ITW.N,DE.N,ODFL.OQ,UPS.N,ROK.N,MAS.N,CMI.N,GWW.N,OTIS.N,AME.N,DOV.N,AOS.N,IEX.N,EXPD.OQ,NDAQ.OQ,PGR.N,MSCI.N,SPGI.N,AON.N,WLTW.OQ,MMC.N,MCO.N,CME.OQ,MKTX.OQ,AMP.N,TROW.OQ,CERN.OQ,UNH.N,ALGN.OQ,BMY.N,REGN.OQ,ZTS.N,ABC.N,EW.N,AMGN.OQ,ILMN.OQ,IDXX.OQ,MRK.N,MTD.N,MCK.N,WAT.N,ABT.N,JNJ.N,ABBV.N,A.N,SYK.N,VRTX.OQ,PKI.N,ISRG.OQ,WST.N,COO.N,DXCM.OQ,RMD.N,BAX.N,HUM.N,PAYX.OQ,TER.OQ,AMAT.OQ,SWKS.OQ,XLNX.OQ,ADBE.OQ,AKAM.OQ,PAYC.N,VRSN.OQ,PYPL.OQ,ENPH.OQ,BR.N,QCOM.OQ,FFIV.OQ,ADSK.OQ,CDW.OQ,MSFT.OQ,CTXS.OQ,KLAC.OQ,ORCL.N,STX.OQ,LRCX.OQ,V.N,ADP.OQ,KEYS.N,MSI.N,AMD.OQ,ANET.N,JKHY.OQ,AVGO.OQ,ADI.OQ,NVDA.OQ,TYL.N,MXIM.OQ,INTU.OQ,MA.N,CTSH.OQ,ACN.N,AAPL.OQ,TXN.OQ,TTWO.OQ,NFLX.OQ,EA.OQ,FB.OQ,GOOGL.OQ
2020-12-31,734.91,45.79,11.77,114.93,160.51,383.46,122.81,452.57,50.25,106.98,119.66,141.47,214.58,4079.86,1386.71,1185.44,68.29,99.79,2227.27,108.56,265.62,140.58,3256.93,177.91,266.19,79.43,54.84,46.61,139.14,148.3,152.33,376.78,78.74,92.48,134.83,82.79,201.92,41.0,85.51,87.23,127.25,93.87,136.65,192.84,48.83,86.28,174.79,203.88,269.05,195.18,168.4,250.81,54.93,227.1,408.34,67.55,120.94,126.25,54.82,199.2,95.11,132.74,98.88,446.53,328.73,211.27,210.68,117.0,290.24,182.05,570.56,194.33,151.39,78.48,350.68,534.38,62.03,483.11,165.5,97.76,91.23,229.92,370.0,499.87,81.8,1139.68,173.92,247.42,109.49,157.38,107.15,118.49,245.04,236.34,143.5,818.1,283.31,363.32,369.72,212.56,80.24,410.27,93.18,119.89,86.3,152.88,141.77,500.12,104.99,452.25,216.4,234.2,175.47,153.2,152.34,175.94,305.34,131.79,222.42,130.1,258.91,64.69,62.16,472.27,218.73,176.2,132.09,170.06,91.71,290.57,161.99,437.85,147.73,522.2,436.52,88.65,379.85,356.94,81.95,261.21,132.69,164.13,207.79,540.73,143.6,273.16,1752.64
2021-01-31,691.8,42.27,10.94,108.29,166.85,370.76,111.29,425.47,56.51,96.81,114.86,133.59,207.84,4446.48,1480.0,1118.37,64.04,108.82,1944.33,101.49,270.82,141.74,3206.2,199.09,236.65,71.67,48.15,46.86,128.21,136.57,145.44,352.43,74.7,86.83,132.1,79.65,209.46,41.08,78.0,84.43,109.75,85.56,134.66,177.11,45.59,91.22,175.66,194.21,288.8,194.0,155.0,248.53,54.31,234.42,364.39,64.65,113.26,116.49,54.3,186.19,89.52,135.27,87.19,395.3,317.0,203.1,202.94,109.91,266.26,181.74,540.76,197.87,156.48,80.11,333.58,525.38,61.43,503.84,154.25,104.2,82.58,241.43,426.44,478.68,77.07,1168.1,174.47,264.67,123.59,163.13,102.48,120.17,221.01,229.08,147.07,747.64,299.49,364.04,374.85,201.57,76.83,383.11,87.32,113.48,96.68,169.25,130.57,458.77,111.03,379.74,194.07,234.31,182.35,141.31,156.28,195.95,277.43,131.66,231.96,133.31,280.07,60.43,66.12,483.95,193.25,165.12,141.59,167.55,85.64,307.56,144.79,450.5,147.33,519.59,422.79,87.71,361.23,316.29,77.95,241.92,131.96,165.69,200.45,532.39,143.2,258.33,1827.36
