Date,SEE.N,AVY.N,CE.N,ROST.OQ,SBUX.OQ,GRMN.OQ,NKE.N,TSLA.OQ,LB.N,HLT.N,TJX.N,DRI.N,TGT.N,UA.N,RL.N,BKNG.OQ,YUM.N,GM.N,TPR.N,ETSY.OQ,EL.N,KO.N,PG.N,PEP.OQ,HSY.N,COST.OQ,LW.N,MNST.OQ,SYY.N,CL.N,NLSN.N,CPRT.OQ,HON.N,EFX.N,FAST.OQ,DE.N,UPS.N,PH.N,CMI.N,GWW.N,OTIS.N,XYL.N,AME.N,ETN.N,CAT.N,AOS.N,MS.N,BLK.N,ALL.N,PGR.N,MSCI.N,AIZ.N,GL.N,AFL.N,FRC.N,RJF.N,RE.N,CB.N,AJG.N,SIVB.OQ,L.N,DFS.N,CME.OQ,MKTX.OQ,AMP.N,TROW.OQ,TRV.N,HOLX.OQ,UNH.N,ALGN.OQ,BIO.N,TMO.N,IDXX.OQ,MTD.N,MCK.N,WAT.N,LLY.N,ABBV.N,A.N,SYK.N,PKI.N,ISRG.OQ,PFE.N,RMD.N,ALXN.OQ,PAYX.OQ,TER.OQ,AMAT.OQ,XLNX.OQ,ZBRA.OQ,PAYC.N,CDNS.OQ,PYPL.OQ,ENPH.OQ,BR.N,QCOM.OQ,FFIV.OQ,ADSK.OQ,CDW.OQ,KLAC.OQ,STX.OQ,APH.N,MCHP.OQ,LRCX.OQ,ADP.OQ,KEYS.N,MSI.N,AMD.OQ,ANET.N,QRVO.OQ,AVGO.OQ,ADI.OQ,TYL.N,MXIM.OQ,INTU.OQ,HPQ.N,NTAP.OQ,CTSH.OQ,FISV.OQ,AAPL.OQ,TXN.OQ,TTWO.OQ,ATVI.OQ,DISCA.OQ,GOOGL.OQ
2020-12-31,45.79,155.11,129.94,122.81,106.98,119.66,141.47,705.67,37.19,111.26,68.29,119.12,176.53,14.88,103.74,2227.27,108.56,41.64,31.08,177.91,266.19,54.84,139.14,148.3,152.33,376.78,78.74,92.48,74.26,85.51,20.87,127.25,212.7,192.84,48.83,269.05,168.4,272.41,227.1,408.34,67.55,101.79,120.94,120.14,182.02,54.82,68.53,721.54,109.93,98.88,446.53,136.22,94.96,44.47,146.93,95.67,234.09,153.92,123.71,387.83,45.02,90.53,182.05,570.56,194.33,151.39,140.37,72.83,350.68,534.38,582.94,465.78,499.87,1139.68,173.92,247.42,168.84,107.15,118.49,245.04,143.5,818.1,36.81,212.56,156.24,93.18,119.89,86.3,141.77,384.33,452.25,136.43,234.2,175.47,153.2,152.34,175.94,305.34,131.79,258.91,62.16,130.77,138.11,472.27,176.2,132.09,170.06,91.71,290.57,166.27,437.85,147.73,436.52,88.65,379.85,24.59,66.24,81.95,113.86,132.69,164.13,207.79,92.85,30.09,1752.64
2021-01-31,42.27,150.87,122.15,111.29,96.81,114.86,133.59,793.53,40.76,101.39,64.04,116.89,181.17,14.97,101.05,1944.33,101.49,50.68,31.62,199.09,236.65,48.15,128.21,136.57,145.44,352.43,74.7,86.83,71.51,78.0,22.33,109.75,195.37,177.11,45.59,288.8,155.0,264.61,234.42,364.39,64.65,96.59,113.26,117.7,182.84,54.3,67.05,701.26,107.18,87.19,395.3,135.47,90.39,45.18,144.99,99.93,211.08,145.67,115.41,437.78,45.29,83.54,181.74,540.76,197.87,156.48,136.3,79.73,333.58,525.38,573.77,509.7,478.68,1168.1,174.47,264.67,207.97,102.48,120.17,221.01,147.07,747.64,35.9,201.57,153.33,87.32,113.48,96.68,130.57,387.83,379.74,130.39,234.31,182.35,141.31,156.28,195.95,277.43,131.66,280.07,66.12,124.88,136.11,483.95,165.12,141.59,167.55,85.64,307.56,170.88,450.5,147.33,422.79,87.71,361.23,24.34,66.44,77.95,102.69,131.96,165.69,200.45,91.0,41.42,1827.36
